record_id,timestamp,topic,device_id,sensor_type,value,unit,status,attack_type,label,source,sequence_number
25,2026-09-14T18:00:53.711383,factory/line1/pressure,pressure_sensor_01,pressure,40.0,kPa,RUNNING,,0,simulator,25
26,2026-09-14T18:00:53.711736,factory/line1/flow,flow_sensor_01,flow,40.0,L/min,RUNNING,,0,simulator,26
27,2026-09-14T18:00:53.711783,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,27
28,2026-09-14T18:00:53.711819,factory/line1/level,level_sensor_01,level,50.2,%,RUNNING,,0,simulator,28
29,2026-09-14T18:00:53.711850,factory/line1/temperature,temperature_sensor_01,temperature,25.8,Â°C,RUNNING,,0,simulator,29
30,2026-09-14T18:00:53.711880,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,30
31,2026-09-14T18:00:53.711901,factory/line1/humidity,humidity_sensor_01,humidity,45.87,%,RUNNING,,0,simulator,31
32,2026-09-14T18:00:53.711919,factory/line1/rpm,rpm_sensor_01,rpm,800.0,RPM,RUNNING,,0,simulator,32
33,2026-09-14T18:00:53.712741,factory/line1/current,current_sensor_01,current,4.0,A,RUNNING,,0,simulator,33
34,2026-09-14T18:00:53.712783,factory/line1/proximity,proximity_sensor_01,proximity,295.63,mm,RUNNING,,0,simulator,34
35,2026-09-14T18:00:53.712802,factory/line1/pressure,pressure_sensor_01,pressure,88.64,kPa,RUNNING,,0,simulator,35
36,2026-09-14T18:00:53.712819,factory/line1/temperature,temperature_sensor_01,temperature,25.0,Â°C,RUNNING,,0,simulator,36
37,2026-09-14T18:00:53.712834,factory/line1/pressure,pressure_sensor_01,pressure,117.3,kPa,RUNNING,,0,simulator,37
38,2026-09-14T18:00:53.712850,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,38
39,2026-09-14T18:00:54.733796,factory/line1/temperature,temperature_sensor_01,temperature,28.25,Â°C,RUNNING,,0,simulator,39
40,2026-09-14T18:00:54.733829,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,40
41,2026-09-14T18:00:54.733843,factory/line1/rpm,rpm_sensor_01,rpm,900.0,RPM,RUNNING,,0,simulator,41
42,2026-09-14T18:00:54.734112,factory/line1/vibration,vibration_sensor_01,vibration,0.17,g,RUNNING,,0,simulator,42
43,2026-09-14T18:00:54.734134,factory/line1/voltage,voltage_sensor_01,voltage,231.03,V,RUNNING,,0,simulator,43
44,2026-09-14T18:00:54.734152,factory/line1/pressure,pressure_sensor_01,pressure,40.0,kPa,RUNNING,,0,simulator,44
45,2026-09-14T18:00:54.734351,factory/line1/flow,flow_sensor_01,flow,40.0,L/min,RUNNING,,0,simulator,45
46,2026-09-14T18:00:54.734373,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,46
47,2026-09-14T18:00:54.734390,factory/line1/level,level_sensor_01,level,50.48,%,RUNNING,,0,simulator,47
48,2026-09-14T18:00:54.734422,factory/line1/temperature,temperature_sensor_01,temperature,26.0,Â°C,RUNNING,,0,simulator,48
49,2026-09-14T18:00:54.734480,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,49
50,2026-09-14T18:00:54.734506,factory/line1/humidity,humidity_sensor_01,humidity,65.48,%,RUNNING,,0,simulator,50
51,2026-09-14T18:00:54.734529,factory/line1/rpm,rpm_sensor_01,rpm,900.0,RPM,RUNNING,,0,simulator,51
52,2026-09-14T18:00:54.734739,factory/line1/current,current_sensor_01,current,5.0,A,RUNNING,,0,simulator,52
53,2026-09-14T18:00:54.734765,factory/line1/proximity,proximity_sensor_01,proximity,396.6,mm,RUNNING,,0,simulator,53
54,2026-09-14T18:00:54.734783,factory/line1/pressure,pressure_sensor_01,pressure,90.64,kPa,RUNNING,,0,simulator,54
55,2026-09-14T18:00:54.734816,factory/line1/temperature,temperature_sensor_01,temperature,25.0,Â°C,RUNNING,,0,simulator,55
56,2026-09-14T18:00:54.734835,factory/line1/pressure,pressure_sensor_01,pressure,121.3,kPa,RUNNING,,0,simulator,56
57,2026-09-14T18:00:54.734851,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,57
58,2026-09-14T18:00:55.822037,factory/line1/temperature,temperature_sensor_01,temperature,28.8,Â°C,RUNNING,,0,simulator,58
59,2026-09-14T18:00:55.822084,factory/line1/current,current_sensor_01,current,9.0,A,RUNNING,,0,simulator,59
60,2026-09-14T18:00:55.822105,factory/line1/rpm,rpm_sensor_01,rpm,1020.0,RPM,RUNNING,,0,simulator,60
61,2026-09-14T18:00:55.822126,factory/line1/vibration,vibration_sensor_01,vibration,0.21,g,RUNNING,,0,simulator,61
62,2026-09-14T18:00:55.822145,factory/line1/voltage,voltage_sensor_01,voltage,223.79,V,RUNNING,,0,simulator,62
63,2026-09-14T18:00:55.822163,factory/line1/pressure,pressure_sensor_01,pressure,45.0,kPa,RUNNING,,0,simulator,63
64,2026-09-14T18:00:55.822502,factory/line1/flow,flow_sensor_01,flow,45.0,L/min,RUNNING,,0,simulator,64
65,2026-09-14T18:00:55.822524,factory/line1/current,current_sensor_01,current,7.0,A,RUNNING,,0,simulator,65
66,2026-09-14T18:00:55.822539,factory/line1/level,level_sensor_01,level,50.99,%,RUNNING,,0,simulator,66
67,2026-09-14T18:00:55.822551,factory/line1/temperature,temperature_sensor_01,temperature,26.2,Â°C,RUNNING,,0,simulator,67
68,2026-09-14T18:00:55.822561,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,68
69,2026-09-14T18:00:55.822574,factory/line1/humidity,humidity_sensor_01,humidity,44.2,%,RUNNING,,0,simulator,69
70,2026-09-14T18:00:55.822584,factory/line1/rpm,rpm_sensor_01,rpm,980.0,RPM,RUNNING,,0,simulator,70
71,2026-09-14T18:00:55.822755,factory/line1/current,current_sensor_01,current,5.5,A,RUNNING,,0,simulator,71
72,2026-09-14T18:00:55.822773,factory/line1/proximity,proximity_sensor_01,proximity,282.68,mm,RUNNING,,0,simulator,72
73,2026-09-14T18:00:55.822789,factory/line1/pressure,pressure_sensor_01,pressure,92.64,kPa,RUNNING,,0,simulator,73
74,2026-09-14T18:00:55.822803,factory/line1/temperature,temperature_sensor_01,temperature,25.4,Â°C,RUNNING,,0,simulator,74
75,2026-09-14T18:00:55.822811,factory/line1/pressure,pressure_sensor_01,pressure,123.3,kPa,RUNNING,,0,simulator,75
76,2026-09-14T18:00:55.822819,factory/line1/current,current_sensor_01,current,9.0,A,RUNNING,,0,simulator,76
77,2026-09-14T18:00:56.837753,factory/line1/temperature,temperature_sensor_01,temperature,29.35,Â°C,RUNNING,,0,simulator,77
78,2026-09-14T18:00:56.837800,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,78
79,2026-09-14T18:00:56.837820,factory/line1/rpm,rpm_sensor_01,rpm,1140.0,RPM,RUNNING,,0,simulator,79
80,2026-09-14T18:00:56.837840,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,80
81,2026-09-14T18:00:56.837859,factory/line1/voltage,voltage_sensor_01,voltage,233.26,V,RUNNING,,0,simulator,81
82,2026-09-14T18:00:56.837875,factory/line1/pressure,pressure_sensor_01,pressure,50.0,kPa,RUNNING,,0,simulator,82
83,2026-09-14T18:00:56.838221,factory/line1/flow,flow_sensor_01,flow,50.0,L/min,RUNNING,,0,simulator,83
84,2026-09-14T18:00:56.838266,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,84
85,2026-09-14T18:00:56.838302,factory/line1/level,level_sensor_01,level,51.74,%,RUNNING,,0,simulator,85
86,2026-09-14T18:00:56.838338,factory/line1/temperature,temperature_sensor_01,temperature,26.4,Â°C,RUNNING,,0,simulator,86
87,2026-09-14T18:00:56.838377,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,87
88,2026-09-14T18:00:56.838414,factory/line1/humidity,humidity_sensor_01,humidity,67.87,%,RUNNING,,0,simulator,88
89,2026-09-14T18:00:56.838443,factory/line1/rpm,rpm_sensor_01,rpm,1060.0,RPM,RUNNING,,0,simulator,89
90,2026-09-14T18:00:56.838459,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,90
91,2026-09-14T18:00:56.838473,factory/line1/proximity,proximity_sensor_01,proximity,365.09,mm,RUNNING,,0,simulator,91
92,2026-09-14T18:00:56.838485,factory/line1/pressure,pressure_sensor_01,pressure,94.64,kPa,RUNNING,,0,simulator,92
93,2026-09-14T18:00:56.838497,factory/line1/temperature,temperature_sensor_01,temperature,25.8,Â°C,RUNNING,,0,simulator,93
94,2026-09-14T18:00:56.838508,factory/line1/pressure,pressure_sensor_01,pressure,125.3,kPa,RUNNING,,0,simulator,94
95,2026-09-14T18:00:56.838522,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,95
96,2026-09-14T18:00:57.853829,factory/line1/temperature,temperature_sensor_01,temperature,29.9,Â°C,RUNNING,,0,simulator,96
97,2026-09-14T18:00:57.853866,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,97
98,2026-09-14T18:00:57.853879,factory/line1/rpm,rpm_sensor_01,rpm,1260.0,RPM,RUNNING,,0,simulator,98
99,2026-09-14T18:00:57.853891,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,99
100,2026-09-14T18:00:57.853905,factory/line1/voltage,voltage_sensor_01,voltage,222.52,V,RUNNING,,0,simulator,100
101,2026-09-14T18:00:57.853915,factory/line1/pressure,pressure_sensor_01,pressure,55.0,kPa,RUNNING,,0,simulator,101
102,2026-09-14T18:00:57.853924,factory/line1/flow,flow_sensor_01,flow,55.0,L/min,RUNNING,,0,simulator,102
103,2026-09-14T18:00:57.853932,factory/line1/current,current_sensor_01,current,9.0,A,RUNNING,,0,simulator,103
104,2026-09-14T18:00:57.853941,factory/line1/level,level_sensor_01,level,52.58,%,RUNNING,,0,simulator,104
105,2026-09-14T18:00:57.853948,factory/line1/temperature,temperature_sensor_01,temperature,26.6,Â°C,RUNNING,,0,simulator,105
106,2026-09-14T18:00:57.853956,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,106
107,2026-09-14T18:00:57.853965,factory/line1/humidity,humidity_sensor_01,humidity,67.17,%,RUNNING,,0,simulator,107
108,2026-09-14T18:00:57.853973,factory/line1/rpm,rpm_sensor_01,rpm,1140.0,RPM,RUNNING,,0,simulator,108
109,2026-09-14T18:00:57.853981,factory/line1/current,current_sensor_01,current,6.5,A,RUNNING,,0,simulator,109
110,2026-09-14T18:00:57.853989,factory/line1/proximity,proximity_sensor_01,proximity,411.08,mm,RUNNING,,0,simulator,110
111,2026-09-14T18:00:57.853996,factory/line1/pressure,pressure_sensor_01,pressure,96.64,kPa,RUNNING,,0,simulator,111
112,2026-09-14T18:00:57.854002,factory/line1/temperature,temperature_sensor_01,temperature,26.2,Â°C,RUNNING,,0,simulator,112
113,2026-09-14T18:00:57.854009,factory/line1/pressure,pressure_sensor_01,pressure,127.3,kPa,RUNNING,,0,simulator,113
114,2026-09-14T18:00:57.854018,factory/line1/current,current_sensor_01,current,11.0,A,RUNNING,,0,simulator,114
115,2026-09-14T18:00:58.869301,factory/line1/temperature,temperature_sensor_01,temperature,30.45,Â°C,RUNNING,,0,simulator,115
116,2026-09-14T18:00:58.869342,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,116
117,2026-09-14T18:00:58.869357,factory/line1/rpm,rpm_sensor_01,rpm,1380.0,RPM,RUNNING,,0,simulator,117
118,2026-09-14T18:00:58.869373,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,118
119,2026-09-14T18:00:58.869390,factory/line1/voltage,voltage_sensor_01,voltage,220.75,V,RUNNING,,0,simulator,119
120,2026-09-14T18:00:58.869405,factory/line1/pressure,pressure_sensor_01,pressure,60.0,kPa,RUNNING,,0,simulator,120
121,2026-09-14T18:00:58.869418,factory/line1/flow,flow_sensor_01,flow,60.0,L/min,RUNNING,,0,simulator,121
122,2026-09-14T18:00:58.869430,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,122
123,2026-09-14T18:00:58.869442,factory/line1/level,level_sensor_01,level,53.52,%,RUNNING,,0,simulator,123
124,2026-09-14T18:00:58.869453,factory/line1/temperature,temperature_sensor_01,temperature,26.8,Â°C,RUNNING,,0,simulator,124
125,2026-09-14T18:00:58.869465,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,125
126,2026-09-14T18:00:58.869478,factory/line1/humidity,humidity_sensor_01,humidity,66.55,%,RUNNING,,0,simulator,126
127,2026-09-14T18:00:58.869491,factory/line1/rpm,rpm_sensor_01,rpm,1220.0,RPM,RUNNING,,0,simulator,127
128,2026-09-14T18:00:58.869502,factory/line1/current,current_sensor_01,current,7.0,A,RUNNING,,0,simulator,128
129,2026-09-14T18:00:58.869514,factory/line1/proximity,proximity_sensor_01,proximity,140.42,mm,RUNNING,,0,simulator,129
130,2026-09-14T18:00:58.869523,factory/line1/pressure,pressure_sensor_01,pressure,98.64,kPa,RUNNING,,0,simulator,130
131,2026-09-14T18:00:58.869534,factory/line1/temperature,temperature_sensor_01,temperature,26.6,Â°C,RUNNING,,0,simulator,131
132,2026-09-14T18:00:58.869544,factory/line1/pressure,pressure_sensor_01,pressure,129.3,kPa,RUNNING,,0,simulator,132
133,2026-09-14T18:00:58.869555,factory/line1/current,current_sensor_01,current,12.0,A,RUNNING,,0,simulator,133
134,2026-09-14T18:00:59.889713,factory/line1/temperature,temperature_sensor_01,temperature,31.0,Â°C,RUNNING,,0,simulator,134
135,2026-09-14T18:00:59.889758,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,135
136,2026-09-14T18:00:59.889779,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,136
137,2026-09-14T18:00:59.889801,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,137
138,2026-09-14T18:00:59.889839,factory/line1/voltage,voltage_sensor_01,voltage,235.12,V,RUNNING,,0,simulator,138
139,2026-09-14T18:00:59.889859,factory/line1/pressure,pressure_sensor_01,pressure,65.0,kPa,RUNNING,,0,simulator,139
140,2026-09-14T18:00:59.889876,factory/line1/flow,flow_sensor_01,flow,65.0,L/min,RUNNING,,0,simulator,140
141,2026-09-14T18:00:59.889890,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,141
142,2026-09-14T18:00:59.889905,factory/line1/level,level_sensor_01,level,54.61,%,RUNNING,,0,simulator,142
143,2026-09-14T18:00:59.889920,factory/line1/temperature,temperature_sensor_01,temperature,27.0,Â°C,RUNNING,,0,simulator,143
144,2026-09-14T18:00:59.889934,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,144
145,2026-09-14T18:00:59.889950,factory/line1/humidity,humidity_sensor_01,humidity,60.87,%,RUNNING,,0,simulator,145
146,2026-09-14T18:00:59.889967,factory/line1/rpm,rpm_sensor_01,rpm,1300.0,RPM,RUNNING,,0,simulator,146
147,2026-09-14T18:00:59.889982,factory/line1/current,current_sensor_01,current,7.5,A,RUNNING,,0,simulator,147
148,2026-09-14T18:00:59.889997,factory/line1/proximity,proximity_sensor_01,proximity,261.39,mm,RUNNING,,0,simulator,148
149,2026-09-14T18:00:59.890010,factory/line1/pressure,pressure_sensor_01,pressure,100.64,kPa,RUNNING,,0,simulator,149
150,2026-09-14T18:00:59.890025,factory/line1/temperature,temperature_sensor_01,temperature,27.0,Â°C,RUNNING,,0,simulator,150
151,2026-09-14T18:00:59.890037,factory/line1/pressure,pressure_sensor_01,pressure,131.3,kPa,RUNNING,,0,simulator,151
152,2026-09-14T18:00:59.890050,factory/line1/current,current_sensor_01,current,12.0,A,RUNNING,,0,simulator,152
153,2026-09-14T18:01:01.005807,factory/line1/temperature,temperature_sensor_01,temperature,31.55,Â°C,RUNNING,,0,simulator,153
154,2026-09-14T18:01:01.005853,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,154
155,2026-09-14T18:01:01.005874,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,155
156,2026-09-14T18:01:01.005893,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,156
157,2026-09-14T18:01:01.005913,factory/line1/voltage,voltage_sensor_01,voltage,222.25,V,RUNNING,,0,simulator,157
158,2026-09-14T18:01:01.005929,factory/line1/pressure,pressure_sensor_01,pressure,70.0,kPa,RUNNING,,0,simulator,158
159,2026-09-14T18:01:01.005945,factory/line1/flow,flow_sensor_01,flow,70.0,L/min,RUNNING,,0,simulator,159
160,2026-09-14T18:01:01.005958,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,160
161,2026-09-14T18:01:01.005973,factory/line1/level,level_sensor_01,level,55.87,%,RUNNING,,0,simulator,161
162,2026-09-14T18:01:01.005987,factory/line1/temperature,temperature_sensor_01,temperature,27.2,Â°C,RUNNING,,0,simulator,162
163,2026-09-14T18:01:01.006003,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,163
164,2026-09-14T18:01:01.006019,factory/line1/humidity,humidity_sensor_01,humidity,63.39,%,RUNNING,,0,simulator,164
165,2026-09-14T18:01:01.006033,factory/line1/rpm,rpm_sensor_01,rpm,1380.0,RPM,RUNNING,,0,simulator,165
166,2026-09-14T18:01:01.006047,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,166
167,2026-09-14T18:01:01.006062,factory/line1/proximity,proximity_sensor_01,proximity,489.69,mm,RUNNING,,0,simulator,167
168,2026-09-14T18:01:01.006074,factory/line1/pressure,pressure_sensor_01,pressure,102.64,kPa,RUNNING,,0,simulator,168
169,2026-09-14T18:01:01.006088,factory/line1/temperature,temperature_sensor_01,temperature,27.4,Â°C,RUNNING,,0,simulator,169
170,2026-09-14T18:01:01.006102,factory/line1/pressure,pressure_sensor_01,pressure,133.3,kPa,RUNNING,,0,simulator,170
171,2026-09-14T18:01:01.006115,factory/line1/current,current_sensor_01,current,12.0,A,RUNNING,,0,simulator,171
172,2026-09-14T18:01:02.040269,factory/line1/temperature,temperature_sensor_01,temperature,32.1,Â°C,RUNNING,,0,simulator,172
173,2026-09-14T18:01:02.040312,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,173
174,2026-09-14T18:01:02.040326,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,174
175,2026-09-14T18:01:02.040341,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,175
176,2026-09-14T18:01:02.040355,factory/line1/voltage,voltage_sensor_01,voltage,237.81,V,RUNNING,,0,simulator,176
177,2026-09-14T18:01:02.040365,factory/line1/pressure,pressure_sensor_01,pressure,75.0,kPa,RUNNING,,0,simulator,177
178,2026-09-14T18:01:02.040376,factory/line1/flow,flow_sensor_01,flow,75.0,L/min,RUNNING,,0,simulator,178
179,2026-09-14T18:01:02.040386,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,179
180,2026-09-14T18:01:02.040396,factory/line1/level,level_sensor_01,level,57.32,%,RUNNING,,0,simulator,180
181,2026-09-14T18:01:02.040405,factory/line1/temperature,temperature_sensor_01,temperature,27.4,Â°C,RUNNING,,0,simulator,181
182,2026-09-14T18:01:02.040413,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,182
183,2026-09-14T18:01:02.040423,factory/line1/humidity,humidity_sensor_01,humidity,58.59,%,RUNNING,,0,simulator,183
184,2026-09-14T18:01:02.040433,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,184
185,2026-09-14T18:01:02.040443,factory/line1/current,current_sensor_01,current,8.5,A,RUNNING,,0,simulator,185
186,2026-09-14T18:01:02.040454,factory/line1/proximity,proximity_sensor_01,proximity,372.9,mm,RUNNING,,0,simulator,186
187,2026-09-14T18:01:02.040461,factory/line1/pressure,pressure_sensor_01,pressure,104.64,kPa,RUNNING,,0,simulator,187
188,2026-09-14T18:01:02.040469,factory/line1/temperature,temperature_sensor_01,temperature,27.8,Â°C,RUNNING,,0,simulator,188
189,2026-09-14T18:01:02.040476,factory/line1/pressure,pressure_sensor_01,pressure,135.3,kPa,RUNNING,,0,simulator,189
190,2026-09-14T18:01:02.040483,factory/line1/current,current_sensor_01,current,12.0,A,RUNNING,,0,simulator,190
191,2026-09-14T18:01:03.063075,factory/line1/temperature,temperature_sensor_01,temperature,32.65,Â°C,RUNNING,,0,simulator,191
192,2026-09-14T18:01:03.063109,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,192
193,2026-09-14T18:01:03.063121,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,193
194,2026-09-14T18:01:03.063134,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,194
195,2026-09-14T18:01:03.063146,factory/line1/voltage,voltage_sensor_01,voltage,230.44,V,RUNNING,,0,simulator,195
196,2026-09-14T18:01:03.063155,factory/line1/pressure,pressure_sensor_01,pressure,75.0,kPa,RUNNING,,0,simulator,196
197,2026-09-14T18:01:03.063165,factory/line1/flow,flow_sensor_01,flow,75.0,L/min,RUNNING,,0,simulator,197
198,2026-09-14T18:01:03.063173,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,198
199,2026-09-14T18:01:03.063182,factory/line1/level,level_sensor_01,level,58.81,%,RUNNING,,0,simulator,199
200,2026-09-14T18:01:03.063191,factory/line1/temperature,temperature_sensor_01,temperature,27.6,Â°C,RUNNING,,0,simulator,200
201,2026-09-14T18:01:03.063200,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,201
202,2026-09-14T18:01:03.063210,factory/line1/humidity,humidity_sensor_01,humidity,44.97,%,RUNNING,,0,simulator,202
203,2026-09-14T18:01:03.063220,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,203
204,2026-09-14T18:01:03.063228,factory/line1/current,current_sensor_01,current,9.0,A,RUNNING,,0,simulator,204
205,2026-09-14T18:01:03.063237,factory/line1/proximity,proximity_sensor_01,proximity,404.12,mm,RUNNING,,0,simulator,205
206,2026-09-14T18:01:03.063244,factory/line1/pressure,pressure_sensor_01,pressure,106.64,kPa,RUNNING,,0,simulator,206
207,2026-09-14T18:01:03.063251,factory/line1/temperature,temperature_sensor_01,temperature,28.2,Â°C,RUNNING,,0,simulator,207
208,2026-09-14T18:01:03.063258,factory/line1/pressure,pressure_sensor_01,pressure,137.3,kPa,RUNNING,,0,simulator,208
209,2026-09-14T18:01:03.063265,factory/line1/current,current_sensor_01,current,12.0,A,RUNNING,,0,simulator,209
210,2026-09-14T18:01:04.078243,factory/line1/temperature,temperature_sensor_01,temperature,33.2,Â°C,RUNNING,,0,simulator,210
211,2026-09-14T18:01:04.078286,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,211
212,2026-09-14T18:01:04.078304,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,212
213,2026-09-14T18:01:04.078322,factory/line1/vibration,vibration_sensor_01,vibration,0.22,g,RUNNING,,0,simulator,213
214,2026-09-14T18:01:04.078338,factory/line1/voltage,voltage_sensor_01,voltage,222.13,V,RUNNING,,0,simulator,214
215,2026-09-14T18:01:04.078352,factory/line1/pressure,pressure_sensor_01,pressure,75.0,kPa,RUNNING,,0,simulator,215
216,2026-09-14T18:01:04.078367,factory/line1/flow,flow_sensor_01,flow,75.0,L/min,RUNNING,,0,simulator,216
217,2026-09-14T18:01:04.078380,factory/line1/current,current_sensor_01,current,10.0,A,RUNNING,,0,simulator,217
218,2026-09-14T18:01:04.078394,factory/line1/level,level_sensor_01,level,60.31,%,RUNNING,,0,simulator,218
219,2026-09-14T18:01:04.078408,factory/line1/temperature,temperature_sensor_01,temperature,27.8,Â°C,RUNNING,,0,simulator,219
220,2026-09-14T18:01:04.078421,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,220
221,2026-09-14T18:01:04.078436,factory/line1/humidity,humidity_sensor_01,humidity,62.03,%,RUNNING,,0,simulator,221
222,2026-09-14T18:01:04.078451,factory/line1/rpm,rpm_sensor_01,rpm,1450.0,RPM,RUNNING,,0,simulator,222
